problema;num_maquina;num_jobs;modelo;lb_cmax;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID000_M003_J004;3;4;minla_fav;0,0;140;31;29,0;29,0;21;False;0,0;34;0;376;integer optimal solution;0,11298584938049316;True
ID000_M003_J004;3;4;minla_fav;29,0;140;31;29,0;29,0;21;False;0,0;34;0;376;integer optimal solution;0,00595402717590332;True
ID000_M003_J004;3;4;manne;0,0;48;31;29,000000000000004;29,000000000000004;21;False;0,0;42;0;132;integer optimal solution;0,030812978744506836;True
ID000_M003_J004;3;4;manne;29,0;48;31;29,0;29,0;18;False;0,0;57;0;132;integer optimal solution;0,0050258636474609375;True
ID000_M003_J004;3;4;liao;0,0;30;49;29,0;29,0;37;False;0,0;56;0;96;integer optimal solution;0,006529092788696289;True
ID000_M003_J004;3;4;liao;29,0;30;49;29,0;29,0;33;False;0,0;58;0;96;integer optimal solution;0,006357908248901367;True
ID000_M003_J004;3;4;liao_desig;0,0;122;49;29,0;29,0;37;False;0,0;41;0;340;integer optimal solution;0,00511622428894043;True
ID000_M003_J004;3;4;liao_desig;29,0;122;49;29,0;29,0;37;False;0,0;41;0;340;integer optimal solution;0,005243062973022461;True
ID000_M003_J004;3;4;minla_fav;0,0;140;31;;24,492644002992268;23;False;;43;0;376;optimal;0,0005869865417480469;False
ID000_M003_J004;3;4;minla_fav;29,0;140;31;;29,0;20;False;;28;0;376;optimal;0,0004489421844482422;False
ID000_M003_J004;3;4;manne;0,0;48;31;;23,0;22;False;;21;0;132;optimal;0,00034308433532714844;False
ID000_M003_J004;3;4;manne;29,0;48;31;;29,0;22;False;;21;0;132;optimal;0,00030803680419921875;False
ID000_M003_J004;3;4;liao;0,0;30;49;;23,0;26;False;;16;0;96;optimal;0,0003750324249267578;False
ID000_M003_J004;3;4;liao;29,0;30;49;;29,0;26;False;;16;0;96;optimal;0,00036406517028808594;False
ID000_M003_J004;3;4;liao_desig;0,0;122;49;;24,492644002992275;42;False;;53;0;340;optimal;0,0006427764892578125;False
ID000_M003_J004;3;4;liao_desig;29,0;122;49;;29,0;40;False;;36;0;340;optimal;0,0005171298980712891;False
ID000_M003_J005;3;5;minla_fav;0,0;220;46;33,0;33,0;28;False;0,0;117;0;605;integer optimal solution;0,008620977401733398;True
ID000_M003_J005;3;5;minla_fav;33,0;220;46;33,0;33,0;31;False;0,0;84;0;605;integer optimal solution;0,01026606559753418;True
ID000_M003_J005;3;5;manne;0,0;75;46;33,0;33,0;29;False;0,0;107;0;210;integer optimal solution;0,00948190689086914;True
ID000_M003_J005;3;5;manne;33,0;75;46;33,0;33,0;28;False;0,0;47;0;210;integer optimal solution;0,00713801383972168;True
ID000_M003_J005;3;5;liao;0,0;45;76;33,0;33,0;59;False;0,0;178;0;150;integer optimal solution;0,01250600814819336;True
ID000_M003_J005;3;5;liao;33,0;45;76;33,0;33,0;51;False;0,0;96;0;150;integer optimal solution;0,009711027145385742;True
ID000_M003_J005;3;5;liao_desig;0,0;190;76;33,0;33,0;55;False;0,0;118;0;545;integer optimal solution;0,009449005126953125;True
ID000_M003_J005;3;5;liao_desig;33,0;190;76;33,0;33,0;59;False;0,0;90;0;545;integer optimal solution;0,011636018753051758;True
ID000_M003_J005;3;5;minla_fav;0,0;220;46;;28,558613184079604;37;False;;58;0;605;optimal;0,000701904296875;False
ID000_M003_J005;3;5;minla_fav;33,0;220;46;;33,0;28;False;;45;0;605;optimal;0,0005509853363037109;False
ID000_M003_J005;3;5;manne;0,0;75;46;;23,0;33;False;;32;0;210;optimal;0,0003437995910644531;False
ID000_M003_J005;3;5;manne;33,0;75;46;;33,0;33;False;;32;0;210;optimal;0,00033402442932128906;False
ID000_M003_J005;3;5;liao;0,0;45;76;;23,0;40;False;;18;0;150;optimal;0,0004038810729980469;False
ID000_M003_J005;3;5;liao;33,0;45;76;;33,0;40;False;;18;0;150;optimal;0,0003921985626220703;False
ID000_M003_J005;3;5;liao_desig;0,0;190;76;;28,5586131840796;69;False;;69;0;545;optimal;0,0008521080017089844;False
ID000_M003_J005;3;5;liao_desig;33,0;190;76;;33,0;61;False;;52;0;545;optimal;0,0006759166717529297;False
ID000_M015_J015;15;15;minla_fav;0,0;10110;1801;1210,0;1210,0;1020;False;0,0;11029299;75919;29445;integer optimal solution;453,21612787246704;True
ID000_M015_J015;15;15;minla_fav;1210,0;10110;1801;1210,0;1210,0;1007;False;0,0;18520935;157577;29445;integer optimal solution;596,049684047699;True
ID000_M015_J015;15;15;manne;0,0;3375;1801;1209,9999898108024;1209,999999998;1009;False;8,419171596078956e-09;11263213;121579;9900;integer optimal, tolerance;237,08217215538025;True
ID000_M015_J015;15;15;manne;1210,0;3375;1801;1210,0;1210,0;1023;False;0,0;44263455;424459;9900;integer optimal solution;700,1869308948517;True
ID000_M015_J015;15;15;liao;0,0;1800;3376;1079,206703910616;1213,9999999969987;2515;True;0,1110323690994274;236928444;666540;6750;time limit exceeded;7200,0110540390015;True
ID000_M015_J015;15;15;liao;1210,0;1800;3376;1210,0000000000007;1213,9999999950014;2510;True;0,003294892911875515;244946244;2387205;6750;time limit exceeded;7200,012168884277;True
ID000_M015_J015;15;15;liao_desig;0,0;8535;3376;1209,8823529411748;1209,9999999999998;2545;False;9,722897423554076e-05;55151430;170950;26295;integer optimal, tolerance;2317,5953629016876;True
ID000_M015_J015;15;15;liao_desig;1210,0;8535;3376;1210,0;1215,9999999999998;2500;True;0,004934210526315198;118480860;294915;26295;time limit exceeded;7200,009383201599;True
ID000_M015_J015;15;15;minla_fav;0,0;10110;1801;;982,4701986754965;1179;False;;3013;0;29445;optimal;0,0841679573059082;False
ID000_M015_J015;15;15;minla_fav;1210,0;10110;1801;;1210,0;1163;False;;2088;0;29445;optimal;0,07675313949584961;False
ID000_M015_J015;15;15;manne;0,0;3375;1801;;963,0;1033;False;;1032;0;9900;optimal;0,0183870792388916;False
ID000_M015_J015;15;15;manne;1210,0;3375;1801;;1210,0;1033;False;;1032;0;9900;optimal;0,017030954360961914;False
ID000_M015_J015;15;15;liao;0,0;1800;3376;;963,0;1785;False;;341;0;6750;optimal;0,00755000114440918;False
ID000_M015_J015;15;15;liao;1210,0;1800;3376;;1210,0;1785;False;;341;0;6750;optimal;0,007503032684326172;False
ID000_M015_J015;15;15;liao_desig;0,0;8535;3376;;982,4701986754966;2707;False;;2834;0;26295;optimal;0,07775211334228516;False
ID000_M015_J015;15;15;liao_desig;1210,0;8535;3376;;1210,0;2601;False;;1984;0;26295;optimal;0,09289097785949707;False
ID001_M015_J015;15;15;minla_fav;0,0;10110;1801;1176,888888888889;1177,0;988;False;9,440196356081258e-05;135651899;544767;29445;integer optimal, tolerance;4448,060330867767;True
ID001_M015_J015;15;15;minla_fav;1177,0;10110;1801;1177,0;1177,0;989;False;0,0;12140539;107343;29445;integer optimal solution;422,6638379096985;True
ID001_M015_J015;15;15;manne;0,0;3375;1801;1176,9666666666662;1177,0;995;False;2,8320589068610815e-05;69027037;483156;9900;integer optimal, tolerance;973,6070730686188;True
ID001_M015_J015;15;15;manne;1177,0;3375;1801;1177,0;1177,0;979;False;0,0;13625535;169871;9900;integer optimal solution;274,6130669116974;True
ID001_M015_J015;15;15;liao;0,0;1800;3376;1068,0;1179,9999998822022;2526;True;0,09491525414692674;165890113;181670;6750;time limit exceeded;7200,615133047104;True
ID001_M015_J015;15;15;liao;1177,0;1800;3376;1177,0000000000007;1196,0;2508;True;0,015886287625416162;171828623;550132;6750;time limit exceeded;7200,010540008545;True
ID001_M015_J015;15;15;liao_desig;0,0;8535;3376;1067,0374535964347;1183,0;2497;True;0,09802413051864368;107975746;160358;26295;time limit exceeded;7200,563899040222;True
ID001_M015_J015;15;15;liao_desig;1177,0;8535;3376;1177,0;1190,0;2491;True;0,010924369747898241;114204047;331418;26295;time limit exceeded;7200,013819932938;True
ID001_M015_J015;15;15;minla_fav;0,0;10110;1801;;945,6247810339937;1160;False;;3405;0;29445;optimal;0,11780714988708496;False
ID001_M015_J015;15;15;minla_fav;1177,0;10110;1801;;1177,0;1082;False;;2476;0;29445;optimal;0,09034395217895508;False
ID001_M015_J015;15;15;manne;0,0;3375;1801;;942,0;1024;False;;1023;0;9900;optimal;0,0185089111328125;False
ID001_M015_J015;15;15;manne;1177,0;3375;1801;;1177,0;1024;False;;1023;0;9900;optimal;0,018203020095825195;False
ID001_M015_J015;15;15;liao;0,0;1800;3376;;942,0;1787;False;;344;0;6750;optimal;0,007451057434082031;False
ID001_M015_J015;15;15;liao;1177,0;1800;3376;;1177,0;1787;False;;346;0;6750;optimal;0,01271200180053711;False
ID001_M015_J015;15;15;liao_desig;0,0;8535;3376;;945,6247810339936;2708;False;;2649;0;26295;optimal;0,08191084861755371;False
ID001_M015_J015;15;15;liao_desig;1177,0;8535;3376;;1177,0;2572;False;;2089;0;26295;optimal;0,11373019218444824;False
ID002_M015_J015;15;15;minla_fav;0,0;10110;1801;1196,90625;1197,0;1008;False;7,832080200500598e-05;172930698;1187995;29445;integer optimal, tolerance;4541,577781915665;True
ID002_M015_J015;15;15;minla_fav;1197,0;10110;1801;1197,0;1197,0;1015;False;0,0;137014784;903573;29445;integer optimal solution;3510,700679063797;True
ID002_M015_J015;15;15;manne;0,0;3375;1801;1196,9024183283839;1196,999999992;1008;False;8,152185765819115e-05;179317681;1204368;9900;integer optimal, tolerance;2528,7936799526215;True
ID002_M015_J015;15;15;manne;1197,0;3375;1801;1197,0;1197,0;1015;False;0,0;18464966;188992;9900;integer optimal solution;299,3190200328827;True
ID002_M015_J015;15;15;liao;0,0;1800;3376;1060,9999999999986;1198,0;2524;True;0,11435726210349743;185029956;201710;6750;time limit exceeded;7200,626797914505;True
ID002_M015_J015;15;15;liao;1197,0;1800;3376;1197,0000000000005;1201,0000000000005;2505;True;0,0033305578684426854;153867609;411670;6750;time limit exceeded;7200,010958909988;True
ID002_M015_J015;15;15;liao_desig;0,0;8535;3376;1058,2149788698607;1204,0;2519;True;0,12108390459312889;114330726;266826;26295;time limit exceeded;7200,996922016144;True
ID002_M015_J015;15;15;liao_desig;1197,0;8535;3376;1197,0;1201,0;2523;True;0,0033305578684426867;126216821;473382;26295;time limit exceeded;7200,0119071006775;True
ID002_M015_J015;15;15;minla_fav;0,0;10110;1801;;947,8456375838925;1114;False;;2800;0;29445;optimal;0,09415102005004883;False
ID002_M015_J015;15;15;minla_fav;1197,0;10110;1801;;1197,0;1169;False;;2330;0;29445;optimal;0,08296489715576172;False
ID002_M015_J015;15;15;manne;0,0;3375;1801;;921,0;1146;False;;1145;0;9900;optimal;0,02155590057373047;False
ID002_M015_J015;15;15;manne;1197,0;3375;1801;;1197,0;1146;False;;1145;0;9900;optimal;0,021646976470947266;False
ID002_M015_J015;15;15;liao;0,0;1800;3376;;921,0;1786;False;;330;0;6750;optimal;0,007542133331298828;False
ID002_M015_J015;15;15;liao;1197,0;1800;3376;;1197,0;1787;False;;333;0;6750;optimal;0,010596990585327148;False
ID002_M015_J015;15;15;liao_desig;0,0;8535;3376;;947,8456375838925;2643;False;;2290;0;26295;optimal;0,10134196281433105;False
ID002_M015_J015;15;15;liao_desig;1197,0;8535;3376;;1197,0;2645;False;;2158;0;26295;optimal;0,13467788696289062;False
ID003_M015_J015;15;15;minla_fav;0,0;10110;1801;1171,8869565220805;1172,0;1034;False;9,645347945350577e-05;78962933;563623;29445;integer optimal, tolerance;2175,8175859451294;True
ID003_M015_J015;15;15;minla_fav;1172,0;10110;1801;1172,0;1172,0;1029;False;0,0;170608075;1264146;29445;integer optimal solution;4500,574589967728;True
ID003_M015_J015;15;15;manne;0,0;3375;1801;1171,888888888889;1171,999999996;1058;False;9,480469890059546e-05;338878608;2152109;9900;integer optimal, tolerance;5875,681874990463;True
ID003_M015_J015;15;15;manne;1172,0;3375;1801;1172,0;1172,0;1027;False;0,0;433889677;3772810;9900;integer optimal solution;6874,593560934067;True
ID003_M015_J015;15;15;liao;0,0;1800;3376;1022,7726044501969;1180,9999999999998;2530;True;0,1339774729464771;174108994;202387;6750;time limit exceeded;7200,013024806976;True
ID003_M015_J015;15;15;liao;1172,0;1800;3376;1172,0000000000007;1186,0000000000005;2489;True;0,011804384485664912;231426523;2331677;6750;time limit exceeded;7200,0122859478;True
ID003_M015_J015;15;15;liao_desig;0,0;8535;3376;1052,0872111573972;1181,0;2575;True;0,10915562137391355;101223900;282003;26295;time limit exceeded;7200,951494932175;True
ID003_M015_J015;15;15;liao_desig;1172,0;8535;3376;1172,0000000000002;1188,9999999929983;2560;True;0,014297729178382427;109476234;343148;26295;time limit exceeded;7200,01128411293;True
ID003_M015_J015;15;15;minla_fav;0,0;10110;1801;;911,0;1171;False;;2755;0;29445;optimal;0,09497404098510742;False
ID003_M015_J015;15;15;minla_fav;1172,0;10110;1801;;1172,0;1095;False;;2668;0;29445;optimal;0,09445905685424805;False
ID003_M015_J015;15;15;manne;0,0;3375;1801;;911,0;1053;False;;1052;0;9900;optimal;0,019744157791137695;False
ID003_M015_J015;15;15;manne;1172,0;3375;1801;;1172,0;1053;False;;1052;0;9900;optimal;0,018776893615722656;False
ID003_M015_J015;15;15;liao;0,0;1800;3376;;911,0;1788;False;;339;0;6750;optimal;0,007566928863525391;False
ID003_M015_J015;15;15;liao;1172,0;1800;3376;;1172,0;1788;False;;339;0;6750;optimal;0,007516145706176758;False
ID003_M015_J015;15;15;liao_desig;0,0;8535;3376;;911,0;2660;False;;2237;0;26295;optimal;0,07261490821838379;False
ID003_M015_J015;15;15;liao_desig;1172,0;8535;3376;;1172,0;2586;False;;2106;0;26295;optimal;0,11307287216186523;False
ID005_M015_J015;15;15;minla_fav;0,0;10110;1801;1161,929362540009;1162,0;1013;False;6,078955248801194e-05;57625105;298407;29445;integer optimal, tolerance;1809,9901580810547;True
ID005_M015_J015;15;15;minla_fav;1162,0;10110;1801;1162,0;1162,0;1009;False;0,0;10996393;108008;29445;integer optimal solution;362,6109080314636;True
ID005_M015_J015;15;15;manne;0,0;3375;1801;1161,887752200548;1162,0;1014;False;9,659879470911975e-05;89597757;539193;9900;integer optimal, tolerance;1571,3684639930725;True
ID005_M015_J015;15;15;manne;1162,0;3375;1801;1162,0;1168,0;955;True;0,005136986301369423;476593252;3438101;9900;time limit exceeded;7200,0086460113525;True
ID005_M015_J015;15;15;liao;0,0;1800;3376;1067,0;1175,0;2494;True;0,09191489361701345;188964572;203095;6750;time limit exceeded;7200,643151044846;True
ID005_M015_J015;15;15;liao;1162,0;1800;3376;1162,000000000001;1181,0;2447;True;0,016088060965281526;236048557;2856541;6750;time limit exceeded;7200,013417005539;True
ID005_M015_J015;15;15;liao_desig;0,0;8535;3376;1161,8876262675994;1162,0;2549;False;9,670717074057346e-05;94370283;268239;26295;integer optimal, tolerance;5656,112756967545;True
ID005_M015_J015;15;15;liao_desig;1162,0;8535;3376;1162,0;1167,999999999999;2481;True;0,005136986301368648;105957369;281900;26295;time limit exceeded;7200,011034011841;True
ID005_M015_J015;15;15;minla_fav;0,0;10110;1801;;915,057151941249;1145;False;;3295;0;29445;optimal;0,10491108894348145;False
ID005_M015_J015;15;15;minla_fav;1162,0;10110;1801;;1162,0;1168;False;;2412;0;29445;optimal;0,10090303421020508;False
ID005_M015_J015;15;15;manne;0,0;3375;1801;;849,0;1108;False;;1107;0;9900;optimal;0,020169973373413086;False
