problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; minla_fav; 0; 3; 4; True; 29.0; 29.0; 0.0; 140; 31; 21; 34; 0; 376; integer optimal solution; 0.11298584938049316; False;  
ID000_M003_J004; minla_fav; 29.0; 3; 4; True; 29.0; 29.0; 0.0; 140; 31; 21; 34; 0; 376; integer optimal solution; 0.00595402717590332; False;  
ID000_M003_J004; manne; 0; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 0; 132; integer optimal solution; 0.030812978744506836; False;  
ID000_M003_J004; manne; 29.0; 3; 4; True; 29.0; 29.0; 0.0; 48; 31; 18; 57; 0; 132; integer optimal solution; 0.0050258636474609375; False;  
ID000_M003_J004; liao; 0; 3; 4; True; 29.0; 29.0; 0.0; 30; 49; 37; 56; 0; 96; integer optimal solution; 0.006529092788696289; False;  
ID000_M003_J004; liao; 29.0; 3; 4; True; 29.0; 29.0; 0.0; 30; 49; 33; 58; 0; 96; integer optimal solution; 0.006357908248901367; False;  
ID000_M003_J004; liao_desig; 0; 3; 4; True; 29.0; 29.0; 0.0; 122; 49; 37; 41; 0; 340; integer optimal solution; 0.00511622428894043; False;  
ID000_M003_J004; liao_desig; 29.0; 3; 4; True; 29.0; 29.0; 0.0; 122; 49; 37; 41; 0; 340; integer optimal solution; 0.005243062973022461; False;  
ID000_M003_J004; minla_fav; 0; 3; 4; False; nan; 24.492644002992268; nan; 140; 31; 23; 43; 0; 376; optimal; 0.0005869865417480469; False;  
ID000_M003_J004; minla_fav; 29.0; 3; 4; False; nan; 29.0; nan; 140; 31; 20; 28; 0; 376; optimal; 0.0004489421844482422; False;  
ID000_M003_J004; manne; 0; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 0; 132; optimal; 0.00034308433532714844; False;  
