funcao_objetivo;problema;modelo;ordem_sol
56;ID000_M003_J004;minla_fav;1
51;ID000_M003_J004;minla_fav;2
29;ID000_M003_J004;minla_fav;3
31;ID000_M003_J004;minla_fav;4
56;ID000_M003_J004;minla_fav;1
51;ID000_M003_J004;minla_fav;2
29;ID000_M003_J004;minla_fav;3
31;ID000_M003_J004;minla_fav;4
69;ID000_M003_J004;manne;1
51;ID000_M003_J004;manne;2
29.000000000000004;ID000_M003_J004;manne;3
33;ID000_M003_J004;manne;4
69;ID000_M003_J004;manne;1
51;ID000_M003_J004;manne;2
29;ID000_M003_J004;manne;3
31;ID000_M003_J004;manne;4
51;ID000_M003_J004;liao;1
33;ID000_M003_J004;liao;2
29;ID000_M003_J004;liao;3
31.999999999999957;ID000_M003_J004;liao;4
51;ID000_M003_J004;liao;1
33;ID000_M003_J004;liao;2
29;ID000_M003_J004;liao;3
31.999999999999957;ID000_M003_J004;liao;4
56;ID000_M003_J004;liao_desig;1
51;ID000_M003_J004;liao_desig;2
29;ID000_M003_J004;liao_desig;3
34;ID000_M003_J004;liao_desig;4
56;ID000_M003_J004;liao_desig;1
51;ID000_M003_J004;liao_desig;2
29;ID000_M003_J004;liao_desig;3
34;ID000_M003_J004;liao_desig;4
77;ID000_M003_J005;minla_fav;1
69;ID000_M003_J005;minla_fav;2
33;ID000_M003_J005;minla_fav;3
33;ID000_M003_J005;minla_fav;1
70;ID000_M003_J005;minla_fav;2
69;ID000_M003_J005;minla_fav;3
36;ID000_M003_J005;minla_fav;4
34;ID000_M003_J005;minla_fav;5
37;ID000_M003_J005;minla_fav;6
69;ID000_M003_J005;manne;1
38;ID000_M003_J005;manne;2
33;ID000_M003_J005;manne;3
37;ID000_M003_J005;manne;4
69;ID000_M003_J005;manne;1
41;ID000_M003_J005;manne;2
33;ID000_M003_J005;manne;3
33;ID000_M003_J005;manne;4
69;ID000_M003_J005;liao;1
41;ID000_M003_J005;liao;2
33;ID000_M003_J005;liao;3
37;ID000_M003_J005;liao;4
33;ID000_M003_J005;liao;1
69;ID000_M003_J005;liao;2
55;ID000_M003_J005;liao;3
45;ID000_M003_J005;liao;4
41;ID000_M003_J005;liao;5
49;ID000_M003_J005;liao;6
70;ID000_M003_J005;liao_desig;1
69;ID000_M003_J005;liao_desig;2
33;ID000_M003_J005;liao_desig;3
70;ID000_M003_J005;liao_desig;1
69;ID000_M003_J005;liao_desig;2
34;ID000_M003_J005;liao_desig;3
33;ID000_M003_J005;liao_desig;4
35;ID000_M003_J005;liao_desig;5
1242;ID000_M015_J015;minla_fav;1
1257.9999999999995;ID000_M015_J015;minla_fav;2
1231;ID000_M015_J015;minla_fav;3
1584;ID000_M015_J015;minla_fav;4
1225;ID000_M015_J015;minla_fav;5
1212;ID000_M015_J015;minla_fav;6
1282;ID000_M015_J015;minla_fav;7
1221;ID000_M015_J015;minla_fav;8
1232;ID000_M015_J015;minla_fav;9
1567;ID000_M015_J015;minla_fav;10
1266;ID000_M015_J015;minla_fav;11
1386;ID000_M015_J015;minla_fav;12
1210;ID000_M015_J015;minla_fav;13
1234;ID000_M015_J015;minla_fav;14
1259;ID000_M015_J015;minla_fav;15
1226;ID000_M015_J015;minla_fav;16
1244;ID000_M015_J015;minla_fav;17
1281;ID000_M015_J015;minla_fav;18
1299;ID000_M015_J015;minla_fav;19
9543;ID000_M015_J015;minla_fav;20
1299;ID000_M015_J015;minla_fav;21
1302;ID000_M015_J015;minla_fav;22
1254;ID000_M015_J015;minla_fav;23
1269;ID000_M015_J015;minla_fav;24
1251;ID000_M015_J015;minla_fav;25
9538;ID000_M015_J015;minla_fav;26
1248;ID000_M015_J015;minla_fav;27
1387.9999999959982;ID000_M015_J015;minla_fav;28
1374;ID000_M015_J015;minla_fav;29
1549;ID000_M015_J015;minla_fav;30
1632;ID000_M015_J015;minla_fav;31
1301;ID000_M015_J015;minla_fav;32
1249;ID000_M015_J015;minla_fav;33
